league,transfermarkt,football_data_url,bbc
Premier League,GB1,E0,premier-league
Championship,GB2,E1,championship
League One,GB3,E2,league-one
League Two,GB4,E3,league-two
Bundesliga,L1,D1,
Serie A,IT1,I1,
La Liga,ES1,SP1,
Ligue 1,FR1,F1,
Eredivisie,NL1,,
Russian Premier League,RU1,,
Champion's League,,,
Europa League,,,
MLS,MLS1,,
Liga MX A,,,
Liga MX C,MEX1,,
Brazilian Serie A,BRA1,,
Turkish Super Lig,TR1,,
Bundesliga 2,L2,,
Ligue 2,FR2,,
Serie B,IT2,,
Segunda,ES2,,
Serbian Superliga,SER1,,
Ukrainian Premier,UKR1,,
Swiss Super League,C1,,
Austrian Bundesliga,A1,,
Scottish Premiership,SC1,,
Scottish Championship,SC2,,
Romanian Liga 1,RO1,,
Jupiler Pro League,BE1,,
Norwegian Tippeligaen,NO1,,
Swedish Allsvenskan,SE1,,
Danish Superligaen,DK1,,
Croatian HNL,KR1,,
J League (1),JL11,,
J League (2),JL12,,
Portuguese Liga,PO1,,
Jupiler League,NL2,,
English National League,,,conference
Czech Synot Liga,TS1,,
Greek Super League,GR1,,
Bosnian Premijer Liga,BOS1,,
Chilean Primera C,,,
Chilean Primera A,CHLA,,
