short,football_data,managers,transfermarkt,bbc_short,bbc_long,jalapic,colour1,colour2,colour3
ARS,Arsenal,Arsenal,Arsenal FC,Arsenal,Arsenal,Arsenal,#EF0107,#023474,#9C824A
AST,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,#94BEE5,#7A003C,#FFE600
BARNS,Barnsley,Barnsley,Barnsley FC,Barnsley,Barnsley,Barnsley,#d62027,#FFFFFF,#a11d22
BIRM,Birmingham,Birmingham City,Birmingham City,Birmingham,Birmingham City,Birmingham City,#607faf,#FFFFFF,#FFFFFF
BBN,Blackburn,Blackburn Rovers,Blackburn Rovers,Blackburn,Blackburn Rovers,Blackburn Rovers,#038fd3,#FFFFFF,#c0362c
BLP,Blackpool,Blackpool,Blackpool FC,Blackpool,Blackpool,Blackpool,#f7941d,#000000,#8bb6b9
BOL,Bolton,Bolton Wanderers,Bolton Wanderers,Bolton,Bolton Wanderers,Bolton Wanderers,#FFFFFF,#1f5293,#ed3338
BOU,Bournemouth,Bournemouth,AFC Bournemouth,Bournemouth,Bournemouth,AFC Bournemouth,#c82327,#000000,#FFFFFF
BRAD,Bradford,Bradford City,Bradford City,Bradford,Bradford City,Bradford City,#fcb850,#84404a,#000000
BRENT,Brentford,Brentford,Brentford FC,Brentford,Brentford,Brentford,#ee3b33,#FFFFFF,#000000
BHA,Brighton,Brighton,Brighton & Hove Albion,Brighton,Brighton and Hove Albion,Brighton & Hove Albion,#005daa,#FFFFFF,#FFFFFF
BRI,Bristol City,Bristol City,Bristol City,Bristol City,Bristol City,Bristol City,#ee3e41,#FFFFFF,#FFFFFF
BUR,Burnley,Burnley,Burnley FC,Burnley,Burnley,Burnley,#8CCCE5,#53162F,#F9EC34
CAR,Cardiff,Cardiff City,Cardiff City,Cardiff,Cardiff City,Cardiff City,#15489b,#FFFFFF,#FFFFFF
CHA,Charlton,Charlton Athletic,Charlton Athletic,Charlton,Charlton Athletic,Charlton Athletic,#ee3b33,#231f20,#FFFFFF
CHE,Chelsea,Chelsea,Chelsea FC,Chelsea,Chelsea,Chelsea,#034694,#DBA111,#ED1C24
CHEST,Chesterfield,Chesterfield,Chesterfield FC,Chesterfield,Chesterfield,Chesterfield,#004890,#FFFFFF,#ee3e41
COL,Colchester,Colchester United,Colchester United,Colchester,Colchester United,Colchester United,#0065a4,#FFFFFF,#fdb750
COV,Coventry,Coventry City,Coventry City,Coventry,Coventry City,Coventry City,#8ad3f4,#005daa,#FFFFFF
CRA,Crawley Town,Crawley Town,Crawley Town,Crawley,Crawley Town,Crawley Town,#ee3b33,#FFFFFF,#FFFFFF
CRE,Crewe,Crewe Alexandra,Crewe Alexandra,Crewe,Crewe Alexandra,Crewe Alexandra,#dd1740,#FFFFFF,#f4d230
CRY,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,#1B458F,#C4122E,#A7A5A6
DER,Derby,Derby County,Derby County,Derby,Derby County,Derby County,#FFFFFF,#000000,#FFFFFF
DON,Doncaster,Doncaster Rovers,Doncaster Rovers,Doncaster,Doncaster Rovers,Doncaster Rovers,#ea3940,#FFFFFF,#f3c828
EVE,Everton,Everton,Everton FC,Everton,Everton,Everton,#274488,#FFFFFF,#FFFFFF
FLE,Fleetwood Town,Fleetwood Town,Fleetwood Town,Fleetwood,Fleetwood Town,Fleetwood Town,#db2922,#FFFFFF,#000000
FUL,Fulham,Fulham,Fulham FC,Fulham,Fulham,Fulham,#FFFFFF,#000000,#FFFFFF
GIL,Gillingham,Gillingham,Gillingham FC,Gillingham,Gillingham,Gillingham,#0057c6,#FFFFFF,#ed1c24
HUD,Huddersfield,Huddersfield Town,Huddersfield Town,Huddersfield,Huddersfield Town,Huddersfield Town,#b8c9e7,#FFFFFF,#0a073e
HUL,Hull,Hull City,Hull City,Hull,Hull City,Hull City,#F5A12D,#000000,#FFFFFF
IPS,Ipswich,Ipswich Town,Ipswich Town,Ipswich,Ipswich Town,Ipswich Town,#1263a8,#FFFFFF,#eb2a30
LEE,Leeds,Leeds United,Leeds United,Leeds,Leeds United,Leeds United,#e7e518,#FFFFFF,#285da9
LEI,Leicester,Leicester City,Leicester City,Leicester,Leicester City,Leicester City,#FDBE11,#0053A0,#FFFFFF
LEY,Leyton Orient,Leyton Orient,Leyton Orient,Leyton Orient,Leyton Orient,Leyton Orient,#ed1c24,#FFFFFF,#FFFFFF
LIV,Liverpool,Liverpool,Liverpool FC,Liverpool,Liverpool,Liverpool,#00A398,#D00027,#FEF667
MCY,Man City,Man City,Manchester City,Man City,Manchester City,Manchester City,#5CBFEB,#FFCE65,#FFFFFF
MU,Man United,Manchester United,Manchester United,Man Utd,Manchester United,Manchester United,#DA020E,#FFE500,#000000
MID,Middlesbrough,Middlesbrough,Middlesbrough FC,Middlesbrough,Middlesbrough,Middlesbrough,#da010d,#FFFFFF,#9b1f17
MIL,Millwall,Millwall,Millwall FC,Millwall,Millwall,Millwall,#31446e,#FFFFFF,#FFFFFF
NEW,Newcastle,Newcastle United,Newcastle United,Newcastle,Newcastle United,Newcastle United,#00B6F1,#BBBDBF,#231F20
NOR,Norwich,Norwich City,Norwich City,Norwich,Norwich City,Norwich City,#fdf43f,#56c47d,#FFFFFF
NOT,Nott'm Forest,Nottingham Forest,Nottingham Forest,Nottm Forest,Nottingham Forest,Nottingham Forest,#e11a2b,#FFFFFF,#FFFFFF
NOTC,Notts County,Notts County,Notts County,Notts County,Notts County,Notts County,#FFFFFF,#000000,#aa9560
OLD,Oldham,Oldham Athletic,Oldham Athletic,Oldham,Oldham Athletic,Oldham Athletic,#004594,#FFFFFF,#FFFFFF
PET,Peterboro,Peterborough,Peterborough United,Peterborough,Peterborough United,Peterborough United,#0067b4,#FFFFFF,#FFFFFF
PORV,Port Vale,Port Vale,Port Vale FC,Port Vale,Port Vale,Port Vale,#FFFFFF,#000000,#FFFFFF
PNE,Preston,Preston,Preston North End,Preston,Preston North End,Preston North End,#011b58,#FFFFFF,#83bde1
QPR,QPR,QPR,Queens Park Rangers,QPR,Queens Park Rangers,Queens Park Rangers,#005CAB,#FFFFFF,#FFFFFF
REA,Reading,Reading,Reading FC,Reading,Reading,Reading,#004494,#FFFFFF,#dd1740
ROCH,Rochdale,Rochdale,Rochdale AFC,Rochdale,Rochdale,Rochdale,#1e599d,#FFFFFF,#cbccd0
ROTH,Rotherham,Rotherham United,Rotherham United,Rotherham,Rotherham United,Rotherham United,#ee3b33,#FFFFFF,#FFFFFF
SCU,Scunthorpe,Scunthorpe United,Scunthorpe United,Scunthorpe,Scunthorpe United,Scunthorpe United,#8b2842,#487bad,#FFFFFF
SHEU,Sheffield United,Sheffield United,Sheffield United,Sheff Utd,Sheffield United,Sheffield United,#ed1c24,#000000,#FFFFFF
SHEW,Sheffield Weds,Sheffield Wednesday,Sheffield Wednesday,Sheff Wed,Sheffield Wednesday,Sheffield Wednesday,#005dab,#FFFFFF,#FFFFFF
SOU,Southampton,Southampton,Southampton FC,Southampton,Southampton,Southampton,#ED1A3B,#211E1F,#FFC20E
STO,Stoke,Stoke City,Stoke City,Stoke,Stoke City,Stoke City,#E03A3E,#1B449C,#FFFFFF
SUN,Sunderland,Sunderland,Sunderland AFC,Sunderland,Sunderland,Sunderland,#EB172B,#A68A26,#211E1E
